r_t,a_t,s_t,s_t_p_1,id_simulation
-2.970853553952864,"(2, 4)","(10, 15)","(10, 14)",6
-1.0,"(0, 2)","(10, 14)","(10, 14)",6
-1.4012884699892993,"(3, 1)","(10, 14)","(11, 14)",6
-4.175217039778843,"(1, 3)","(11, 14)","(11, 15)",6
-3.701723911410242,"(1, 2)","(11, 15)","(10, 15)",6
-2.319623802815563,"(2, 3)","(10, 15)","(10, 16)",6
-1.4690013382272895,"(3, 2)","(10, 16)","(9, 16)",6
-3.2909410894733178,"(1, 4)","(9, 16)","(9, 15)",6
-1.4593904156140713,"(3, 4)","(9, 15)","(9, 14)",6
-1.0,"(0, 4)","(9, 14)","(9, 14)",6
-3.2909410894733178,"(1, 3)","(9, 14)","(9, 15)",6
-1.0,"(0, 4)","(9, 15)","(9, 15)",6
-1.850861955705121,"(2, 1)","(9, 15)","(10, 15)",6
-4.639247605631126,"(1, 3)","(10, 15)","(10, 16)",6
-3.701723911410242,"(1, 4)","(10, 16)","(10, 15)",6
-4.175217039778843,"(1, 1)","(10, 15)","(11, 15)",6
-1.8365572665661816,"(2, 3)","(11, 15)","(11, 16)",6
-1.0,"(0, 4)","(11, 16)","(11, 16)",6
-4.639247605631126,"(1, 2)","(11, 16)","(10, 16)",6
-1.0,"(0, 4)","(10, 16)","(10, 16)",6
-1.850861955705121,"(2, 4)","(10, 16)","(10, 15)",6
-5.941707107905728,"(1, 4)","(10, 15)","(10, 14)",6
-1.0,"(0, 2)","(10, 14)","(10, 14)",6
-1.850861955705121,"(2, 3)","(10, 14)","(10, 15)",6
-1.0,"(0, 2)","(10, 15)","(10, 15)",6
-4.639247605631126,"(1, 3)","(10, 15)","(10, 16)",6
-1.0485786210233643,"(2, 3)","(10, 16)","(10, 17)",6
-1.0,"(0, 4)","(10, 17)","(10, 17)",6
-2.221652236878666,"(2, 1)","(10, 17)","(11, 17)",6
-5.063096881489899,"(1, 3)","(11, 17)","(11, 18)",6
-4.671216444525951,"(1, 3)","(11, 18)","(11, 19)",6
